pid,block,delays,score,trial_index,trial_time,clicks,n_clicks,stim_i
144,test,"[0, 0, 0, 0, 0]",54.0,12,9892.0,"[11, 12, 4, 3]",4,9
144,test,"[0, 0, 0, 0, 0, 0]",33.0,13,8805.0,"[7, 8, 11, 12, 4]",5,52
144,test,"[0, 0, 0, 0]",21.0,14,10039.0,"[3, 4, 2]",3,8
144,test,"[0, 0, 0, 0]",53.0,15,8507.0,"[12, 11, 4]",3,33
144,test,"[0, 0, 0, 0, 0, 0]",39.0,16,9247.0,"[3, 4, 7, 8, 11]",5,17
144,test,"[0, 0]",43.0,17,9315.0,[11],1,53
144,test,"[0, 0, 0, 0]",39.0,18,8798.0,"[4, 3, 7]",3,49
144,test,"[0, 0, 0, 0, 0, 0]",49.0,19,9790.0,"[3, 4, 11, 12, 8]",5,43
144,test,"[0, 0, 0, 0]",51.0,20,8544.0,"[3, 4, 11]",3,51
144,test,"[0, 0, 0, 0, 0, 0]",49.0,21,9710.0,"[7, 4, 3, 12, 8]",5,13
144,test,"[0, 0, 0, 0, 0]",50.0,22,8474.0,"[11, 4, 3, 7]",4,28
144,test,"[0, 0, 0, 0]",45.0,23,9093.0,"[3, 4, 11]",3,15
144,test,"[0, 0, 0, 0, 0, 0, 0]",24.0,24,9618.0,"[3, 4, 11, 12, 8, 7]",6,55
144,test,"[0, 0, 0, 0]",39.0,25,8996.0,"[7, 4, 11]",3,46
144,test,"[0, 0, 0, 0, 0, 0, 0]",24.0,26,9509.0,"[3, 11, 4, 12, 8, 7]",6,11
144,test,"[0, 0, 0, 0, 0]",50.0,27,9688.0,"[7, 4, 3, 11]",4,58
144,test,"[0, 0, 0]",46.0,28,10032.0,"[4, 11]",2,40
144,test,"[0, 0, 0, 0, 0, 0, 0]",16.0,29,10634.0,"[11, 4, 3, 7, 8, 12]",6,3
145,training,"[3, 2, 2, 2, 17]",18.0,0,48619.0,"[1, 6, 3, 4]",4,3
145,training,"[0, 0, 0, 0, 0, 3, 0]",36.0,1,20686.0,"[8, 7, 3, 4, 11, 12]",6,46
145,training,"[0, 0, 2, 0]",51.0,2,13854.0,"[12, 11, 4]",3,58
145,training,"[0, 0]",43.0,3,11669.0,[4],1,29
145,training,"[0, 0]",53.0,4,10473.0,[4],1,44
145,training,"[0, 0]",55.0,5,8598.0,[4],1,54
145,training,"[0, 0, 0, 0]",35.0,6,11465.0,"[4, 3, 8]",3,5
145,training,"[0, 0]",41.0,7,8655.0,[12],1,48
145,training,"[0, 0, 0, 0, 0, 0, 0]",18.0,8,12060.0,"[11, 7, 8, 12, 4, 3]",6,12
145,training,"[0, 0]",53.0,9,11345.0,[11],1,51
145,test,"[0, 0, 0]",44.0,10,9864.0,"[11, 12]",2,21
145,test,"[0, 0, 0, 0, 0, 0, 0]",42.0,11,9121.0,"[8, 7, 3, 4, 11, 12]",6,56
145,test,"[0, 0]",47.0,12,10133.0,[12],1,8
145,test,"[0, 0]",59.0,13,11424.0,[4],1,0
145,test,"[0, 0]",51.0,14,10942.0,[7],1,50
145,test,"[0, 0]",35.0,15,8800.0,[12],1,30
145,test,"[0, 0, 0, 0, 0, 0, 0]",20.0,16,12334.0,"[4, 3, 7, 8, 12, 11]",6,27
145,test,"[0, 0, 0, 0, 0, 0, 0]",24.0,17,10999.0,"[7, 8, 12, 11, 4, 3]",6,55
145,test,"[0, 0, 0, 0, 0, 0, 0]",24.0,18,10730.0,"[4, 3, 7, 8, 12, 11]",6,45
145,test,"[0, 0, 0, 0, 0]",36.0,19,9669.0,"[4, 3, 8, 12]",4,19
145,test,"[0, 0, 0, 0]",53.0,20,8969.0,"[4, 11, 3]",3,20
145,test,"[0, 0, 0, 0]",35.0,21,11404.0,"[12, 11, 4]",3,52
145,test,"[0, 0]",47.0,22,8819.0,[3],1,26
145,test,"[0, 0, 0, 0, 0, 0, 0]",18.0,23,10228.0,"[7, 8, 12, 11, 4, 3]",6,16
145,test,"[0, 0, 0, 0]",41.0,24,8622.0,"[4, 3, 12]",3,17
145,test,"[0, 0, 0, 0]",49.0,25,8676.0,"[4, 3, 8]",3,36
145,test,"[0, 0, 0]",50.0,26,8609.0,"[7, 3]",2,41
145,test,"[0, 0, 0, 0, 0]",50.0,27,8766.0,"[11, 12, 8, 7]",4,28
145,test,"[0, 0, 0, 0, 0, 0, 0]",10.0,28,9382.0,"[12, 11, 4, 3, 7, 8]",6,14
145,test,"[0, 0, 0, 0, 0, 0, 0]",16.0,29,11505.0,"[7, 4, 11, 12, 8, 3]",6,32
146,training,"[0, 0, 0, 0, 0, 0]",37.0,0,27484.0,"[9, 1, 5, 6, 7]",5,49
146,training,"[0, 0, 0, 0, 0, 0, 0]",6.0,1,20211.0,"[12, 7, 4, 8, 11, 3]",6,31
146,training,"[0, 0, 0, 0]",27.0,2,9276.0,"[1, 3, 4]",3,11
146,training,"[0, 0, 0, 0, 0]",38.0,3,9949.0,"[8, 4, 1, 2]",4,47
146,training,"[0, 0, 0, 0]",49.0,4,10617.0,"[10, 3, 8]",3,41
146,training,"[0, 0, 0, 0, 0, 0, 0]",16.0,5,11032.0,"[7, 12, 4, 5, 9, 1]",6,39
146,training,"[0, 0, 0, 0, 0]",48.0,6,8906.0,"[6, 2, 10, 12]",4,34
146,training,"[0, 0, 0, 0]",43.0,7,9072.0,"[7, 5, 6]",3,25
146,training,"[0, 0, 0, 0, 0]",44.0,8,9674.0,"[11, 7, 5, 6]",4,59
146,training,"[0, 0, 0, 0, 0, 0]",49.0,9,9337.0,"[3, 11, 8, 7, 4]",5,21
146,test,"[0, 0, 0, 0]",51.0,10,9950.0,"[3, 8, 11]",3,51
146,test,"[0, 0, 0, 0, 0, 0]",33.0,11,9379.0,"[11, 7, 4, 12, 8]",5,5
146,test,"[0, 0, 0, 0]",41.0,12,9620.0,"[11, 9, 10]",3,17
146,test,"[0, 0, 0, 0, 0, 0]",55.0,13,8754.0,"[7, 11, 12, 9, 10]",5,37
146,test,"[0, 0, 0, 0, 0, 0, 0, 0]",41.0,14,9516.0,"[3, 1, 2, 12, 11, 10, 9]",7,18
146,test,"[0, 0, 0, 0]",57.0,15,8535.0,"[7, 5, 6]",3,22
146,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",28.0,16,8494.0,"[7, 11, 12, 8, 5, 6, 4, 3]",8,10
